Doanh Thu,Doanh Thu Cua Hang,Doanh Thu Tai Khoan Tu Van Hanh,Doanh Thu Affiliate, Luot Ban,Don Gia Binh Quan
1420000,250170,130540,845930,7.54,188.80
1370000,214950,183670,837720,7.39,186.16
1330000,208140,165450,790200,7.39,180.53
1140000,169230,151520,708740,6.60,172.45
1270000,283670,120410,720890,7.21,175.39
1060000,173080,109430,626200,6.23,170.04
1270000,292240,136490,735870,6.99,182.08
1780000,272730,134110,700590,8.85,200.79
1210000,281290,101580,700130,6.94,173.74
1730000,820970,141420,595730,10.48,164.75
1750000,982460,112740,522520,7.58,230.26
2190000,1240000,41610,878500,9.75,224.42
1700000,797620,183170,540930,7.08,240.58
1030000,323510,105870,480140,5.18,198.98
1530000,276940,208120,919100,8.39,181.96
984150,182900,116050,556970,5.63,174.96
1090000,286620,98220,607120,,187.00
1000000,195450,135120,571220,5.15,194.70
1080000,228340,150070,594740,5.38,201.03
1540000,409790,188230,815390,8.24,186.97
690480,90200,170250,345470,2.93,235.74
1960000,234910,170610,1360000,12.05,162.28
1510000,489430,170420,708490,8.11,186.12
1410000,151360,215090,810390,6.79,208.18
1180000,250940,188710,609680,6.51,181.51
1140000,169540,208820,606830,5.67,200.84
1650000,441390,196640,856420,8.48,194.93
1410000,280430,287560,700420,6.72,209.48
2170000,406480,523250,798870,10.48,207.41
2090000,624420,317650,939580,12.66,164.75
