Doanh Thu,Doanh Thu Cua Hang,Doanh Thu Tai Khoan Tu Van Hanh,Doanh Thu Affiliate, Luot Ban,Don Gia Binh Quan
1240000,272550,	120110,	847340,	7.21,171.98
1150000,159240,	151530,	839230,	6.70,171.64
1460000,260420,	288560,	911020,	7.10,205.63
2284000,1250000,327650,	706350,	12.66,180.41
1330000,264410,	165550,	900040,	7.38,180.22
1130000,211100,	151420,	768480,	6.80,166.18
1660000,586550,	196940,	877510,	8.48,195.75
1750000,788990,	112940,	847070,	7.30,239.73
1910000,845000,	170610,	895390,	12.04,158.64
1600000,546300,	189230,	866470,	8.21,194.88
1480000,368100,	288760,	826140,	7.66,193.21
1490000,379000,	286910,	825090,	7.91,188.37
1300000,287400,	164750,	847850,	7.58,171.50
1320000,289220,	166650,	864130,	7.70,171.43
1400000,345200,	214980,	839820,	6.90,202.89
1510000,475400,	171420,	864180,	8.12,185.96
1420000,250170,	130540, 1039290,7.54,188.8
1370000,214950,	183670,	971380,	7.39,186.16
1330000,208140,	165450,	956410,	7.39,180.53
1140000,169230,	151520,	819250,	6.6,172.45
1270000,283670,	120410,	865920,	7.21,175.39
1060000,173080,	109430,	777490,	6.23,170.04
1270000,292240,	136490,	841270,	6.99,182.08
1780000,272730,	134110,	1373160,8.85,200.79
1210000,281290,	101580,	827130,	6.94,173.74
1730000,820970,	141420,	767610,	10.48,164.75
1750000,982460,	112740,	654800,	7.58,230.26
2190000,1240000,41610,	908390,	9.75,224.42
1700000,797620,	183170,	719210,	7.08,240.58
1030000,323510,	105870,	600620,	5.18,198.98
1530000,276940,	208120,	1044940,8.39,181.96
984150,	182900,	116050,	685200,	5.63,174.96
1090000,286620,	98220,	705160,	5.85,187.0
1000000,195450,	135120,	669430,	5.15,194.7
1080000,228340,	150070,	701590,	5.38,201.03
1540000,409790,	188230,	941980,	8.24,186.97
690480,	90200,	170250,	430030,	2.93,235.74
1960000,234910,	170610,	1554480,12.05,162.28
1510000,489430,	170420,	850150,	8.11,186.12
1410000,151360,	215090,	1043550,6.79,208.18
1180000,250940,	188710,	740350,	6.51,181.51
1140000,169540,	208820,	761640,	5.67,200.84
1650000,441390,	196640,	1011970,8.48,194.93
1410000,280430,	287560,	842010,	6.72,209.48
2170000,406480,	523250,	1240270,10.48,207.41
2090000,624420,	317650,	1147930,12.66,164.75
1110000,234190,10430,864000,5.38,206.18
1580000,420333,16090,1140000,8.24,191.77
708180,92510,18090,597580,2.93,241.78
2010000,240940,12720,1750000,12.05,166.44
1550000,501980,19260,1030000,8.11,190.89
1450000,155240,14690,1280000,6.79,213.51
1210000,257370,7790,947700,6.51,186.16
1170000,173880,2360,992110,5.67,205.99
1700000,452700,6010,1240000,8.48,199.93
1440000,287630,28860,1130000,6.72,214.85
2230000,416900,28080,1790000,10.48,212.73
2140000,640430,6410,1490000,12.66,168.97
1850000,527770,0,1320000,76.12,24.3
2000000,632200,3010,1360000,19.51,102.45
2420000,959270,6370,1460000,24.19,100.1
3020000,1450000,2420,1570000,20.97,144.19
2540000,1120000,0,1420000,16.04,158.47
2380000,969510,0,1420000,15.87,150.24
2920000,1540000,0,1380000,16.23,179.82
1820000,677560,0,1150000,13.32,136.97
1820000,566930,0,1260000,12.1,150.63
1860000,662230,0,1200000,12.2,152.67
2130000,778710,0,1360000,14.12,151.2
2060000,1050000,0,1010000,12.12,170.36
2170000,711070,0,1460000,14.76,147.23
1980000,661040,0,1320000,13.21,149.79
1920000,711990,0,1210000,13.02,147.74
1660000,519750,0,1150000,11.03,150.89
1980000,815910,0,1170000,13.05,151.96
1620000,724740,0,893600,16.26,99.54
